"playerID","yearID","teamID","lgID","G","AB","R","H","2B","3B","HR","RBI","SB","SBp","BB","SO","IBB","HBP","GIDP","SH","SF","OBP","SLG","BA","Kp","BBp","RBIp","GIDPp","Rp","SBr"
"fonvich01",1995,"LAN","NL",88,308,41,85,6,1,0,16,20,0.8000,23,39,1,1,3,6,0,0.32831325301204817,0.3019,0.2760,0.11538461538461539,0.06804733727810651,0.0519,0.00974025974025974,0.1331,0.18181818181818182
"fryeje01",1995,"TEX","AL",90,313,38,87,15,2,4,29,3,0.5000,24,45,0,5,7,8,4,0.3352601156069364,0.3770,0.2780,0.1271186440677966,0.06779661016949153,0.0927,0.022364217252396165,0.1214,0.026785714285714284
"frymatr01",1995,"DET","AL",144,567,79,156,21,5,15,81,4,0.6667,63,100,4,3,18,0,7,0.346875,0.4092,0.2751,0.15625,0.0984375,0.1429,0.031746031746031744,0.1393,0.018957345971563982
"gaettga01",1995,"KCA","AL",137,514,76,134,27,0,35,96,3,0.5000,47,91,6,8,7,3,6,0.32869565217391306,0.5175,0.2607,0.157439446366782,0.08131487889273356,0.1868,0.013618677042801557,0.1479,0.01875
"gagnegr01",1995,"KCA","AL",120,430,58,110,25,4,6,49,3,0.3750,38,60,2,2,11,7,5,0.3157894736842105,0.3744,0.2558,0.12448132780082988,0.07883817427385892,0.1140,0.02558139534883721,0.1349,0.02054794520547945
"galaran01",1995,"COL","NL",143,554,89,155,29,3,31,106,12,0.8571,32,146,6,13,14,0,5,0.33112582781456956,0.5108,0.2798,0.24172185430463577,0.052980132450331126,0.1913,0.02527075812274368,0.1606,0.06857142857142857
"gantro01",1995,"CIN","NL",119,410,79,113,19,4,29,88,23,0.7419,74,108,5,3,11,1,5,0.3861788617886179,0.5537,0.2756,0.21906693711967545,0.15010141987829614,0.2146,0.026829268292682926,0.1927,0.13855421686746988
"garcica01",1995,"PIT","NL",104,367,41,108,24,2,6,50,8,0.6667,25,55,5,2,4,5,3,0.34005037783375314,0.4196,0.2943,0.13681592039800994,0.06218905472636816,0.1362,0.010899182561307902,0.1117,0.05970149253731343
"gatesbr01",1995,"OAK","AL",136,524,60,133,24,4,5,56,3,0.5000,46,84,2,0,15,4,11,0.3080895008605852,0.3435,0.2538,0.14358974358974358,0.07863247863247863,0.1069,0.02862595419847328,0.1145,0.017045454545454544
"gilbe01",1995,"TEX","AL",130,415,36,91,20,3,9,46,2,0.3333,26,147,0,1,5,10,2,0.26576576576576577,0.3470,0.2193,0.3237885462555066,0.05726872246696035,0.1108,0.012048192771084338,0.0867,0.01834862385321101
